"id","carrier","locality"
1,"01112","61"
2,"02302","01"
3,"14312","40"
4,"06202","00"
5,"05302","01"
6,"01112","64"
7,"01112","65"
8,"12402","99"
9,"04412","18"
10,"03502","09"
11,"12302","99"
12,"01112","63"
13,"08202","01"
14,"10202","01"
15,"09102","03"
16,"04112","01"
17,"14412","01"
18,"02102","01"
19,"05202","00"
20,"01112","59"
21,"03302","01"
22,"01112","62"
23,"01182","72"
24,"07202","01"
25,"10302","35"
26,"01112","60"
27,"01112","75"
28,"04412","28"
29,"02202","00"
30,"13292","04"
31,"03402","02"
32,"11302","00"
33,"01182","73"
34,"04412","15"
35,"13202","01"
36,"13102","00"
37,"12502","01"
38,"04212","05"
39,"01182","71"
40,"15202","00"
41,"01112","66"
42,"01112","06"
43,"13202","03"
44,"12102","01"
45,"11502","00"
46,"06102","16"
47,"11402","16"
48,"01112","05"
49,"14112","99"
50,"03202","01"
51,"08102","00"
52,"01112","67"
53,"06102","12"
54,"13282","99"
55,"04412","99"
56,"01112","69"
57,"14212","99"
58,"06102","15"
59,"07102","13"
60,"12302","01"
61,"10202","99"
62,"01112","52"
63,"08202","99"
64,"09102","99"
65,"02302","99"
66,"12202","01"
67,"05302","99"
68,"04412","09"
69,"05102","00"
70,"01112","09"
71,"12402","01"
72,"01112","55"
73,"07202","99"
74,"01112","56"
75,"01312","00"
76,"01182","17"
77,"03602","21"
78,"14512","50"
79,"01182","74"
80,"13202","02"
81,"04412","20"
82,"15102","00"
83,"09102","04"
84,"09202","20"
85,"01112","53"
86,"01112","51"
87,"06302","00"
88,"02402","02"
89,"01112","57"
90,"07302","00"
91,"01112","58"
92,"06102","99"
93,"04312","00"
94,"03102","00"
95,"02402","99"
96,"01182","18"
97,"05402","00"
98,"01112","54"
99,"04412","31"
100,"01182","26"
101,"01112","07"
102,"14112","03"
103,"12502","99"
104,"01112","70"
105,"01112","68"
106,"10102","00"
107,"05302","02"
108,"09202","50"
109,"14212","01"
110,"04412","11"
111,"01212","01"
112,"11202","01"
